#Title: The Algol System SZ Herculis: Physical Nature and Orbital Behavior 
#Authors: Lee J.W., Lee C.-U., Kim S.-L., Kim H.-I., Park J.-H. 
#Table: CCD Photometric Observations of SZ Her
#================================================================================
#Byte-by-byte Description of file: aj413575t2_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units Label    Explanations
#--------------------------------------------------------------------------------
#   1- 13 F13.5  d     HJD-B    ? B band Heliocentric Julian Date observations
#  15- 20 F6.3   mag   DelBmag  ? Differential B band magnitude
#  22- 34 F13.5  d     HJD-V    ? V band Heliocentric Julian Date observations
#  36- 41 F6.3   mag   DelVmag  ? Differential V band magnitude
#  43- 55 F13.5  d     HJD-R    R band Heliocentric Julian Date observations
#  57- 62 F6.3   mag   DelRmag  Differential R band magnitude
#  64- 76 F13.5  d     HJD-I    ? I band Heliocentric Julian Date observations
#  78- 83 F6.3   mag   DelImag  ? Differential I band magnitude
#--------------------------------------------------------------------------------
2454525.24638 -0.389 2454525.24769  0.183 2454525.24881  0.519 2454525.25950  0.756
2454525.25125 -0.428 2454525.25268  0.152 2454525.25380  0.504 2454525.26414  0.759
2454525.25615 -0.456 2454525.25753  0.128 2454525.25859  0.478 2454525.26878  0.754
2454525.26079 -0.469 2454525.26217  0.117 2454525.26323  0.473 2454525.27343  0.742
2454525.26543 -0.469 2454525.26681  0.120 2454525.26787  0.457 2454525.27795  0.743
2454525.27007 -0.468 2454525.27145  0.117 2454525.27251  0.457 2454525.28251  0.748
2454525.27472 -0.479 2454525.27606  0.101 2454525.27705  0.445 2454525.28704  0.753
2454525.27926 -0.488 2454525.28061  0.111 2454525.28160  0.449 2454525.29158  0.741
2454525.28381 -0.486 2454525.28516  0.103 2454525.28615  0.456 2454525.29601  0.751
2454525.28835 -0.498 2454525.28970  0.100 2454525.29069  0.448 2454525.30726  0.741
2454525.29283 -0.503 2454525.29412  0.098 2454525.29511  0.446 2454525.31133  0.737
2454525.29726 -0.509 2454525.29855  0.090 2454525.29956  0.435 2454525.31562  0.730
2454525.30164 -0.512 2454525.30323  0.087 2454525.30625  0.425 2454525.31941  0.723
2454525.30841 -0.522 2454525.30953  0.087 2454525.31046  0.433 2454525.32319  0.724
2454525.31281 -0.518 2454525.31388  0.083 2454525.31479  0.430 2454525.32698  0.724
2454525.31666 -0.520 2454525.31769  0.075 2454525.31857  0.423 2454525.33077  0.706
2454525.32045 -0.524 2454525.32148  0.078 2454525.32236  0.418 2454525.33456  0.716
2454525.32423 -0.527 2454525.32526  0.070 2454525.32614  0.418 2454525.33834  0.710
2454525.32802 -0.524 2454525.32906  0.068 2454525.32994  0.420 2454525.34214  0.707
2454525.33181 -0.527 2454525.33284  0.081 2454525.33372  0.416 2454525.34604  0.704
2454525.33560 -0.524 2454525.33663  0.060 2454525.33751  0.411 2454525.34994  0.695
2454525.33938 -0.515 2454525.34041  0.071 2454525.34131  0.410 2454525.35384  0.692
2454525.34324 -0.531 2454525.34433  0.068 2454525.34521  0.407 2454525.35775  0.697
2454525.34714 -0.529 2454525.34823  0.061 2454525.34911  0.412 2454525.36602  0.704
2454525.35104 -0.529 2454525.35213  0.060 2454525.35301  0.404 2454525.37014  0.702
2454525.35495 -0.531 2454525.35604  0.059 2454525.35692  0.396 2454525.37426  0.700
2454525.35885 -0.529 2454525.36000  0.058 2454525.36097  0.404 2454527.22366  1.016
2454525.36301 -0.535 2454525.36415  0.061 2454525.36514  0.401 2454527.22481  1.024
2454525.36714 -0.534 2454525.36829  0.059 2454525.36926  0.394 2454527.22960  1.005
2454525.37126 -0.540 2454525.37241  0.056 2454525.37338  0.397 2454527.24010  0.951
